Year,State,Division,County,Region,Population_Description,Offense,Offender_Race,Offender_Ethnicity,Offender_Age,Offender_Sex,Victim_Type,Location,Weapon,Property_Type,Stolen_Value,Recovered_Value,Recovered?,Recovery_Date
2019,North Carolina,South Atlantic,GUILFORD,South,"Cities from 250,000 thru 499,999",Motor Vehicle Theft,White,Not Hispanic or Latino,29.0,M,Individual,Parking/Drop Lot/Garage,,Other Motor Vehicles,1900.0,0.0,N,
2019,North Carolina,South Atlantic,MECKLENBURG,South,"Cities from 500,000 thru 999,999",Theft From Motor Vehicle,,,,,Individual,Residence/Home,,Tools,2845.0,0.0,N,
2019,North Carolina,South Atlantic,GUILFORD,South,"Cities from 250,000 thru 499,999",Motor Vehicle Theft,White,Not Hispanic or Latino,34.0,F,Individual,Parking/Drop Lot/Garage,,Other Motor Vehicles,1900.0,0.0,N,
2019,North Carolina,South Atlantic,STANLY,South,"Cities from 10,000 thru 24,999",Burglary/Breaking & Entering,Black or African American,Not Hispanic or Latino,21.0,M,Individual,Residence/Home,,Radio/ TV/ VCR,1200.0,0.0,N,
2019,North Carolina,South Atlantic,MECKLENBURG,South,"Cities from 500,000 thru 999,999",Theft From Motor Vehicle,,,,,Individual,Residence/Home,,Tools,3800.0,0.0,N,
2019,North Carolina,South Atlantic,MECKLENBURG,South,"Cities from 500,000 thru 999,999",Theft From Motor Vehicle,,,,,Individual,Bar/Nightclub,,Computer Hard/ Software,2000.0,0.0,N,
2019,North Carolina,South Atlantic,MECKLENBURG,South,"Cities from 500,000 thru 999,999",Theft From Motor Vehicle,,,,,Individual,Residence/Home,,Tools,4030.0,0.0,N,
2019,North Carolina,South Atlantic,ROWAN,South,"Cities from 25,000 thru 49,999",Burglary/Breaking & Entering,,,,,Individual,Residence/Home,,Radio/ TV/ VCR,2275.0,0.0,N,
2019,North Carolina,South Atlantic,MCDOWELL,South,"Non-MSA counties from 25,000 thru 99,999",Burglary/Breaking & Entering,,,,,Individual,Other/Unknown,,Tools,3854.0,0.0,N,
2019,Texas,West South Central,DENTON; COLLIN; DALLAS,South,"Cities 1,000,000 or over",Burglary/Breaking & Entering,,,,,Individual,Residence/Home,,Radio/ TV/ VCR,1299.0,0.0,N,
2019,North Carolina,South Atlantic,CHATHAM,South,"MSA counties from 25,000 thru 99,999",Motor Vehicle Theft,,,,,Individual,Highway/Road/Alley/Street/Sidewalk,,Automobile,10000.0,0.0,N,
2019,North Carolina,South Atlantic,MECKLENBURG,South,"Cities from 500,000 thru 999,999",Destruction/Damage/Vandalism of Property,,,,,Individual,Residence/Home,,Household Goods,1374.0,0.0,N,
2019,Colorado,Mountain,ADAMS,West,"Cities from 100,000 thru 249,999",Motor Vehicle Theft,,,,,Individual,Parking/Drop Lot/Garage,,Automobile,10000.0,10000.0,Y,07-Nov-19
2019,North Carolina,South Atlantic,EDGECOMBE; NASH,South,"Cities from 50,000 thru 99,999",Motor Vehicle Theft,,,,,Individual,Residence/Home,,Automobile,5000.0,5000.0,Y,21-Jun-19
2019,Texas,West South Central,POLK,South,"Cities under 2,500",Motor Vehicle Theft,,,,,Individual,Residence/Home,,Automobile,12000.0,0.0,N,
2019,North Carolina,South Atlantic,FRANKLIN; WAKE,South,"Cities from 25,000 thru 49,999",Motor Vehicle Theft,,,,,Individual,Residence/Home,,Automobile,20000.0,15000.0,Y,09-Nov-19
2019,North Carolina,South Atlantic,WAKE,South,"MSA counties 100,000 or over",Motor Vehicle Theft,,,,,Individual,Residence/Home,,Automobile,7000.0,7000.0,Y,08-Sep-19
2019,North Carolina,South Atlantic,ONSLOW,South,"MSA counties 100,000 or over",All Other Larceny,,,,,Individual,Residence/Home,,Tools,5410.0,0.0,N,
2019,North Carolina,South Atlantic,ONSLOW,South,"MSA counties 100,000 or over",All Other Larceny,,,,,Individual,Residence/Home,,Tools,1100.0,0.0,N,
2019,North Carolina,South Atlantic,ONSLOW,South,"MSA counties 100,000 or over",Burglary/Breaking & Entering,,,,,Individual,Residence/Home,,Purse/ Wallet,8000.0,0.0,N,
2019,Ohio,East North Central,HANCOCK,Midwest,"Cities from 25,000 thru 49,999",All Other Larceny,,,,,Individual,Hotel/Motel/Etc.,,Tools,1960.0,0.0,N,
2019,North Carolina,South Atlantic,GUILFORD,South,"Cities from 250,000 thru 499,999",All Other Larceny,,,,,Individual,Parking/Drop Lot/Garage,,Tools,6000.0,6000.0,Y,26-Jun-19
2019,North Carolina,South Atlantic,ROBESON,South,"Non-MSA counties from 25,000 thru 99,999",Burglary/Breaking & Entering,American Indian or Alaska Native,Not Hispanic or Latino,28.0,M,Individual,Residence/Home,,Automobile,5000.0,5000.0,Y,31-May-19
